Date,Temperature,Windspeed,Status
06-05-2020,35.4,10.788,sunny
07-05-2020,36.7,,sunny
08-05-2020,,6.88,
,30.4,,cloudy
10-05-2020,,19.055,rainy
11-05-2020,24.2,13.9,sunny
12-05-2020,22.7,,
13-05-2020,35.4,10.788,sunny
,26.3,8.658,
15-05-2020,22.4,14.884,sunny
,,,sunny
17-05-2020,23.5,16.555,rainy
18-05-2020,,25.664,
19-05-2020,30.2,14.258,cloudy
20-05-2020,,17.256,rainy
,33.4,,sunny
22-05-2020,,12.222,
23-05-2020,28.5,13.525,sunny
24-05-2020,27.6,5.899,
25-05-2020,26.7,,sunny
26-05-2020,34.4,16.258,rainy
27-05-2020,33.9,14.363,cloudy
